"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Watertown School District","900580490","2010-2011","Non-Special Education","Four Year Graduation Count","Number",200
"Brookfield School District","900108980","2016-2017","Non-Special Education","Total Cohort Count","Number",199
"East Haven School District","900922910","2015-2016","Non-Special Education","Total Cohort Count","Number",199
"Ledyard School District","901142600","2014-2015","Non-Special Education","Total Cohort Count","Number",199
"New Fairfield School District","900150860","2010-2011","Non-Special Education","Four Year Graduation Count","Number",199
"Unified School District #1","","2011-2012","Special Education","Total Cohort Count","Number",199
"Waterford School District","901180280","2011-2012","Non-Special Education","Four Year Graduation Count","Number",199
"Berlin School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",198
"Vernon School District","901378250","2014-2015","Non-Special Education","Total Cohort Count","Number",198
"Branford School District","900907310","2016-2017","Non-Special Education","Four Year Graduation Count","Number",197
"Colchester School District","901115910","2014-2015","Non-Special Education","Total Cohort Count","Number",197
"Groton School District","901134250","2015-2016","Non-Special Education","Four Year Graduation Count","Number",197
"Suffield School District","900374540","2012-2013","Non-Special Education","Total Cohort Count","Number",197
"Wolcott School District","900987560","2012-2013","Non-Special Education","Total Cohort Count","Number",197
"Wolcott School District","900987560","2015-2016","Non-Special Education","Total Cohort Count","Number",197
"Ledyard School District","901142600","2013-2014","Non-Special Education","Four Year Graduation Count","Number",196
"Watertown School District","900580490","2016-2017","Non-Special Education","Total Cohort Count","Number",196
"Ledyard School District","901142600","2014-2015","Non-Special Education","Four Year Graduation Count","Number",195
"Tolland School District","901376290","2010-2011","Non-Special Education","Four Year Graduation Count","Number",195
"Tolland School District","901376290","2015-2016","Non-Special Education","Total Cohort Count","Number",195
"Unified School District #1","","2014-2015","Non-Special Education","Other Count","Number",195
"Watertown School District","900580490","2013-2014","Non-Special Education","Four Year Graduation Count","Number",195
"Watertown School District","900580490","2015-2016","Non-Special Education","Four Year Graduation Count","Number",195
"Wolcott School District","900987560","2010-2011","Non-Special Education","Four Year Graduation Count","Number",195
"East Haven School District","900922910","2011-2012","Non-Special Education","Total Cohort Count","Number",194
"New Britain School District","900350440","2010-2011","Non-Special Education","Other Count","Number",194
"Unified School District #1","","2013-2014","Non-Special Education","Other Count","Number",194
"Ledyard School District","901142600","2015-2016","Non-Special Education","Total Cohort Count","Number",193
"Tolland School District","901376290","2013-2014","Non-Special Education","Four Year Graduation Count","Number",193
"Tolland School District","901376290","2014-2015","Non-Special Education","Total Cohort Count","Number",193
"Torrington School District","900576570","2014-2015","Non-Special Education","Four Year Graduation Count","Number",193
"Vernon School District","901378250","2016-2017","Non-Special Education","Total Cohort Count","Number",193
"Wolcott School District","900987560","2011-2012","Non-Special Education","Total Cohort Count","Number",193
"Ledyard School District","901142600","2010-2011","Non-Special Education","Four Year Graduation Count","Number",192
"Plainfield School District","901559980","2010-2011","Non-Special Education","Total Cohort Count","Number",192
"Regional School District 14","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",192
"Suffield School District","900374540","2010-2011","Non-Special Education","Four Year Graduation Count","Number",192
"Tolland School District","901376290","2015-2016","Non-Special Education","Four Year Graduation Count","Number",192
"Capitol Region Education Council","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",191
"East Haven School District","900922910","2016-2017","Non-Special Education","Total Cohort Count","Number",191
"Watertown School District","900580490","2011-2012","Non-Special Education","Four Year Graduation Count","Number",191
"Bridgeport School District","900108070","2016-2017","Non-Special Education","Other Count","Number",190
"Killingly School District","901540500","2012-2013","Non-Special Education","Total Cohort Count","Number",190
"New London School District","901152350","2013-2014","Non-Special Education","Total Cohort Count","Number",190
"New London School District","901152350","2015-2016","Non-Special Education","Total Cohort Count","Number",190
"Tolland School District","901376290","2014-2015","Non-Special Education","Four Year Graduation Count","Number",190
"Wolcott School District","900987560","2015-2016","Non-Special Education","Four Year Graduation Count","Number",189
"East Haven School District","900922910","2013-2014","Non-Special Education","Four Year Graduation Count","Number",188
"New Haven School District","900952070","2013-2014","Non-Special Education","Other Count","Number",188
