"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Wallingford School District","900978740","2013-2014","Non-Special Education","Total Cohort Count","Number",418
"West Haven School District","900982870","2010-2011","Non-Special Education","Total Cohort Count","Number",418
"East Hartford School District","900322630","2015-2016","Non-Special Education","Four Year Graduation Count","Number",415
"Newtown School District","900152980","2012-2013","Non-Special Education","Four Year Graduation Count","Number",415
"Southington School District","900370550","2016-2017","Non-Special Education","Total Cohort Count","Number",415
"Newtown School District","900152980","2014-2015","Non-Special Education","Total Cohort Count","Number",414
"Westport School District","900183500","2010-2011","Non-Special Education","Four Year Graduation Count","Number",413
"Ridgefield School District","900163970","2013-2014","Non-Special Education","Four Year Graduation Count","Number",412
"Wallingford School District","900978740","2014-2015","Non-Special Education","Four Year Graduation Count","Number",412
"Westport School District","900183500","2014-2015","Non-Special Education","Total Cohort Count","Number",412
"Westport School District","900183500","2014-2015","Non-Special Education","Four Year Graduation Count","Number",411
"Westport School District","900183500","2012-2013","Non-Special Education","Total Cohort Count","Number",410
"Westport School District","900183500","2015-2016","Non-Special Education","Total Cohort Count","Number",410
"Newtown School District","900152980","2014-2015","Non-Special Education","Four Year Graduation Count","Number",409
"Southington School District","900370550","2016-2017","Non-Special Education","Four Year Graduation Count","Number",409
"Milford School District","900947535","2013-2014","Non-Special Education","Four Year Graduation Count","Number",408
"Southington School District","900370550","2011-2012","Non-Special Education","Four Year Graduation Count","Number",408
"Unified School District #1","","2010-2011","Non-Special Education","Total Cohort Count","Number",408
"Westport School District","900183500","2012-2013","Non-Special Education","Four Year Graduation Count","Number",408
"Manchester School District","900344700","2012-2013","Non-Special Education","Total Cohort Count","Number",406
"Meriden School District","900946520","2014-2015","Non-Special Education","Four Year Graduation Count","Number",406
"Capitol Region Education Council","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",404
"Meriden School District","900946520","2012-2013","Non-Special Education","Four Year Graduation Count","Number",404
"Milford School District","900947535","2015-2016","Non-Special Education","Total Cohort Count","Number",404
"Milford School District","900947535","2016-2017","Non-Special Education","Four Year Graduation Count","Number",403
"Wallingford School District","900978740","2016-2017","Non-Special Education","Four Year Graduation Count","Number",401
"Enfield School District","900325990","2010-2011","Non-Special Education","Four Year Graduation Count","Number",398
"Meriden School District","900946520","2010-2011","Non-Special Education","Four Year Graduation Count","Number",397
"Newtown School District","900152980","2010-2011","Non-Special Education","Total Cohort Count","Number",397
"Southington School District","900370550","2012-2013","Non-Special Education","Four Year Graduation Count","Number",397
"West Haven School District","900982870","2012-2013","Non-Special Education","Total Cohort Count","Number",397
"Shelton School District","900168170","2011-2012","Non-Special Education","Total Cohort Count","Number",396
"East Hartford School District","900322630","2011-2012","Non-Special Education","Four Year Graduation Count","Number",395
"Wallingford School District","900978740","2013-2014","Non-Special Education","Four Year Graduation Count","Number",395
"Hamden School District","900935650","2013-2014","Non-Special Education","Total Cohort Count","Number",394
"New Britain School District","900350440","2015-2016","Non-Special Education","Four Year Graduation Count","Number",394
"Ridgefield School District","900163970","2016-2017","Non-Special Education","Total Cohort Count","Number",392
"Ridgefield School District","900163970","2011-2012","Non-Special Education","Total Cohort Count","Number",391
"East Hartford School District","900322630","2016-2017","Non-Special Education","Four Year Graduation Count","Number",390
"Milford School District","900947535","2015-2016","Non-Special Education","Four Year Graduation Count","Number",390
"Ridgefield School District","900163970","2016-2017","Non-Special Education","Four Year Graduation Count","Number",390
"West Haven School District","900982870","2015-2016","Non-Special Education","Total Cohort Count","Number",390
"Meriden School District","900946520","2016-2017","Non-Special Education","Four Year Graduation Count","Number",389
"Newtown School District","900152980","2016-2017","Non-Special Education","Total Cohort Count","Number",389
"Regional School District 05","","2011-2012","Non-Special Education","Total Cohort Count","Number",389
"Hamden School District","900935650","2012-2013","Non-Special Education","Total Cohort Count","Number",388
"Meriden School District","900946520","2011-2012","Non-Special Education","Four Year Graduation Count","Number",388
"Meriden School District","900946520","2015-2016","Non-Special Education","Four Year Graduation Count","Number",387
"Milford School District","900947535","2011-2012","Non-Special Education","Four Year Graduation Count","Number",387
"Ridgefield School District","900163970","2011-2012","Non-Special Education","Four Year Graduation Count","Number",387
"Ridgefield School District","900163970","2014-2015","Non-Special Education","Total Cohort Count","Number",387
"New Britain School District","900350440","2014-2015","Non-Special Education","Four Year Graduation Count","Number",386
"Ridgefield School District","900163970","2010-2011","Non-Special Education","Total Cohort Count","Number",386
"Westport School District","900183500","2013-2014","Non-Special Education","Total Cohort Count","Number",386
"Hamden School District","900935650","2014-2015","Non-Special Education","Total Cohort Count","Number",385
"Milford School District","900947535","2012-2013","Non-Special Education","Four Year Graduation Count","Number",385
"Newtown School District","900152980","2015-2016","Non-Special Education","Total Cohort Count","Number",385
"Enfield School District","900325990","2011-2012","Non-Special Education","Four Year Graduation Count","Number",384
"Hamden School District","900935650","2011-2012","Non-Special Education","Four Year Graduation Count","Number",384
"Milford School District","900947535","2014-2015","Non-Special Education","Total Cohort Count","Number",384
"Westport School District","900183500","2013-2014","Non-Special Education","Four Year Graduation Count","Number",384
"East Hartford School District","900322630","2012-2013","Non-Special Education","Four Year Graduation Count","Number",382
"Newtown School District","900152980","2016-2017","Non-Special Education","Four Year Graduation Count","Number",382
"Ridgefield School District","900163970","2014-2015","Non-Special Education","Four Year Graduation Count","Number",381
"Ridgefield School District","900163970","2015-2016","Non-Special Education","Total Cohort Count","Number",381
"New Britain School District","900350440","2013-2014","Non-Special Education","Four Year Graduation Count","Number",380
